label,text
ham,"Hey, are we still meeting at 7pm tonight?"
spam,WINNER! You have won a free ticket to Bahamas. Reply WIN to claim.
ham,Can you send me the report by tomorrow?
spam,Congratulations! You've been selected for a $1000 gift card. Click now!
ham,Thanks for the update. Talk to you later.
spam,This is not a scam! Your phone number won the prize. Call now!
ham,Lunch at my place today?
spam,Claim your free voucher now! Limited time only.
ham,"Got it, I’ll finish it by today evening."
spam,Exclusive offer! Buy one get one free. Hurry!
